"","Country","Year","ResPropAnim","Usage","N","IsolPos","ResPropHum","Lower_Tet","Upper_Tet"
"1","Austria","2014",0.018,0.000685933544,113,2,0.146,0.0030715423102243,0.068789024685281
"2","Belgium","2014",0.287,0.005317295113,167,48,0.398,0.221455205543734,0.363366077328175
"3","Bulgaria","2014",0.471,0.001233585751,17,8,NA,0.2385724466355,0.714661439835414
"4","Croatia","2014",0.071,0.003415794872,126,9,NA,0.0352574788367585,0.135079053865031
"5","Cyprus","2014",0.356,0.004390654206,45,16,NA,0.222853082899596,0.512706575558942
"6","Czech Republic","2014",0.075,0.003135896159,212,16,NA,0.0451604582980914,0.121865499618679
"7","Denmark","2014",0.308,0.000561513872,26,8,0.398,0.150879624807551,0.518974912699373
"8","France","2014",0.028,0.002062064326,36,1,0.291,0.00145171309310061,0.162035771627198
"9","Germany","2014",0.028,0.007018140953,28,1,NA,0.00186711799388509,0.20239083322497
"11","Hungary","2014",0.053,0.008392785366,169,9,0.252,0.0262096633958848,0.101803183873068
"12","Ireland","2014",0.125,0.000365581994,16,2,0.365,0.0219524526702603,0.395874024259419
"13","Italy","2014",0.436,0.02051945823,66,29,0.306,0.319340092145384,0.566524692297723
"15","Netherlands","2014",0.398,0.002082545455,88,35,0.323,0.296612412917302,0.507862605147762
"16","Poland","2014",0.224,0.01014479591,85,19,NA,0.143185580563256,0.329321014977894
"17","Portugal","2014",0.157,0.007240050955,51,8,0.55,0.0748413931652333,0.291375626255041
"18","Romania","2014",0.233,0.001163403357,554,129,0.213,0.198721232018523,0.27075595581957
"19","Slovakia","2014",0.105,0.001823941935,19,2,0.121,0.0184452368280979,0.345382697894017
"20","Slovenia","2014",0.082,0.003324374269,85,7,0.118,0.0365680783736566,0.167648301271017
"21","Spain","2014",0.4,0.009656840356,135,54,0.462,0.31775508156621,0.488022922832478
"23","United Kingdom","2014",0.036,0.001749881909,168,6,0.181,0.0146004021317969,0.0796263349043445
"24","Iceland ","2014",0,0.000133362069,16,0,NA,0,0.240736013578175
